r_outer,t,C11,C12,C22,C66,E_eff_x,E_eff_y,nu_eff_xy,nu_eff_yx
0.18000000000000002,0.004,2338437.755721499,-2184558.421485499,2338437.751130851,61833.80401979072,1737125.1899645426,1737125.1865543467,-0.9341956699206823,-0.9341956680867384
0.18000000000000002,0.006,7068358.3521459205,-6661413.039508651,7068358.348829297,194041.7608888191,5250780.490165542,5250780.487701765,-0.942427181922936,-0.9424271814807291
0.18000000000000002,0.008,16447835.459717216,-15564572.307914,16447835.464443719,465858.59189342766,12218392.055789933,12218392.05930105,-0.9462991249858304,-0.9462991252577619
0.18000000000000002,0.01,31804902.35726303,-30125645.942023933,31804902.36043567,943970.2871936313,23626498.893966824,23626498.89632364,-0.9472013339521935,-0.9472013340466798
0.18000000000000002,0.012,55138602.31063842,-52246232.94732848,55138602.30836713,1699799.6798047784,40960104.57361712,40960104.57192987,-0.9475436583455119,-0.9475436583064804
0.18000000000000002,0.014,87830859.28393401,-83199682.5579756,87830859.28087369,2818800.4407825293,65245781.182350986,65245781.180077605,-0.9472716450594195,-0.9472716450264134
0.18000000000000002,0.016,131881597.28231783,-124866993.51184966,131881597.28907698,4383019.168182916,97969186.55257896,97969186.55760005,-0.9468113525964376,-0.9468113526449633
0.18000000000000002,0.018000000000000002,186485524.17728359,-176321747.42572024,186485524.17992264,6461590.917629948,138532103.67455354,138532103.67651397,-0.9454983071801525,-0.9454983071935327
0.18000000000000002,0.02,256694279.1334084,-242446791.56340587,256694279.13269654,9264088.173268452,190687178.7848177,190687178.78428885,-0.9444962793193942,-0.9444962793167748
0.18000000000000002,0.022000000000000002,340298473.4166123,-320896161.05246896,340298473.4143797,12825269.053858178,252793151.68091205,252793151.67925355,-0.9429844272669285,-0.9429844272607418
0.18000000000000002,0.024,442523111.45631546,-416833785.26627773,442523111.4601469,17223196.150259405,328731454.22469157,328731454.22753775,-0.9419480575622258,-0.9419480575703814
0.18000000000000002,0.026,560881701.4091048,-527359393.2290961,560881701.4151964,22926385.34983113,416654978.18962085,416654978.19414604,-0.9402328367969253,-0.9402328368071369
0.18000000000000002,0.028,695801776.6654873,-653010878.5836718,695801776.6690536,29476619.220097356,516881319.80864775,516881319.811297,-0.9385013095392907,-0.9385013095441008
0.18000000000000002,0.030000000000000002,848749623.8732436,-794963166.8467883,848749623.8821926,37479662.908152744,630499720.5915524,630499720.5982003,-0.9366285939669884,-0.936628593976864
0.18000000000000002,0.032,1020847724.3870966,-954006237.9835674,1020847724.3924953,46989976.423138365,758344023.8304148,758344023.8344252,-0.934523548603975,-0.9345235486089172
0.18000000000000002,0.034,1213368926.8264005,-1131805655.696579,1213368926.8367105,57489820.33023096,901359774.2138977,901359774.2215564,-0.9327794957196,-0.9327794957275257
0.18000000000000002,0.036000000000000004,1430659760.4502633,-1331444737.9910975,1430659760.4700136,70770405.67216906,1062775822.0487672,1062775822.0634388,-0.9306508610780238,-0.9306508610908715
0.18000000000000002,0.038000000000000006,1655221375.6530006,-1535682314.0971572,1655221375.6709774,85754873.49417017,1229593021.9136577,1229593021.927012,-0.9277806199636816,-0.9277806199737578
0.18000000000000002,0.04000000000000001,1911529088.6785753,-1769433344.666435,1911529088.7011101,102474063.13065577,1419993037.3040848,1419993037.3208249,-0.9256638337995527,-0.9256638338104654
0.18000000000000002,0.041999999999999996,2176894715.6884093,-2009376503.6047325,2176894715.7119637,120643821.54878223,1617121788.7971044,1617121788.8146017,-0.9230471685662375,-0.9230471685762249
0.18000000000000002,0.044,2468102559.9874663,-2270406440.552969,2468102560.009438,143976741.1074365,1833447615.9906895,1833447616.0070114,-0.9198995525308669,-0.9198995525390561
0.18000000000000002,0.046,2775426025.301919,-2545128846.0507207,2775426025.321846,167840402.04083768,2061745047.36714,2061745047.381943,-0.9170227643720321,-0.9170227643786161
0.18000000000000002,0.048,3093295710.2437086,-2826523276.3730397,3093295710.2644615,194274867.86476186,2297876813.3238983,2297876813.3393145,-0.913757862526304,-0.9137578625324344
0.18000000000000002,0.05,3450602553.082799,-3142923241.747916,3450602553.1023927,224810181.59517696,2563304753.7186513,2563304753.7332063,-0.9108331641736468,-0.9108331641788188
0.18000000000000002,0.052000000000000005,3806030449.333737,-3453009608.6227393,3806030449.360547,257739410.13983256,2827336905.2193475,2827336905.239264,-0.907246974128355,-0.9072469741347456
0.18000000000000002,0.054000000000000006,4191811372.362962,-3788366708.4850845,4191811372.3886685,295012850.1946119,3113917019.4696293,3113917019.4887257,-0.903754098631188,-0.9037540986367304
0.18000000000000002,0.05600000000000001,4593096671.027521,-4133750639.726263,4593096671.050222,336503443.88599896,3412014669.9061584,3412014669.923023,-0.8999920828535645,-0.8999920828580127
0.18000000000000002,0.057999999999999996,4995596225.2038145,-4474643321.733187,4995596225.22651,381465366.8514175,3711014338.722834,3711014338.7396936,-0.8957175720362183,-0.8957175720402877
