r_outer,t,C11,C12,C22,C66,E_eff_x,E_eff_y,nu_eff_xy,nu_eff_yx
0.17,0.004,2655349.2650502613,-2482801.6378027364,2655349.26188429,62688.10051757658,1972545.1683230514,1972545.1659711872,-0.9350188592670818,-0.9350188581522594
0.17,0.006,8445978.364038171,-7985976.117732859,8445978.363726413,206336.79385032548,6274155.356142642,6274155.35591105,-0.9455359431218578,-0.9455359430869561
0.17,0.008,19126746.297953304,-18129266.17435914,19126746.30059293,484181.70511200675,14208440.107051026,14208440.10901189,-0.9478489383109103,-0.9478489384417201
0.17,0.01,37502760.92334089,-35618234.118202075,37502760.91433102,970901.0499696016,27859193.82876752,27859193.822074477,-0.9497496517540711,-0.9497496515258981
0.17,0.012,64334321.473337494,-61090215.5360022,64334321.47047967,1735858.5653821237,47791210.23733643,47791210.23521347,-0.949574257405263,-0.9495742573630814
0.17,0.014,102940480.55774175,-97761478.42844193,102940480.55316915,2852406.358834709,76470071.2714653,76470071.2680685,-0.9496893535283989,-0.9496893534862139
0.17,0.016,153845015.8404314,-145964344.18454024,153845015.8409869,4481458.710645476,114284868.91003478,114284868.91044743,-0.9487752553219398,-0.9487752553253658
0.17,0.018000000000000002,219432437.85547504,-208001326.28625545,219432437.85348138,6645989.643781421,163006953.83549577,163006953.83401477,-0.9479060084322689,-0.9479060084236567
0.17,0.02,298729148.56931394,-282812651.48247856,298729148.57257646,9322277.539355284,221913081.79434755,221913081.79677108,-0.9467193035358216,-0.946719303546161
0.17,0.022000000000000002,397338808.252879,-375632497.8469514,397338808.2541702,12973024.258039283,295165971.8449959,295165971.845955,-0.9453707768878855,-0.9453707768909575
0.17,0.024,514790815.8566368,-486043532.54353076,514790815.8634484,17386564.76274417,382416034.63635886,382416034.6414188,-0.9441573500651903,-0.9441573500776831
0.17,0.026,653870037.022461,-616314706.8236903,653870037.034728,23142703.141553693,485732027.50239974,485732027.51151234,-0.9425645341062736,-0.9425645341239567
0.17,0.028,807091773.5513155,-759164668.3617611,807091773.5680226,29797158.90816943,599553888.9238346,599553888.9362454,-0.9406175273050009,-0.940617527324472
0.17,0.030000000000000002,987421394.6258157,-927045238.2784185,987421394.6425269,37944250.561833814,733513036.007749,733513036.0201629,-0.9388547213057237,-0.9388547213216129
0.17,0.032,1182163850.5833492,-1107622746.164926,1182163850.6031234,46838559.97561693,878178860.4333452,878178860.4480348,-0.9369452006165071,-0.9369452006321796
0.17,0.034,1400181134.8701563,-1308564955.3798656,1400181134.8898625,58111061.91839088,1040134557.3321162,1040134557.3467551,-0.934568337462136,-0.9345683374752892
0.17,0.036000000000000004,1641415907.408432,-1529951620.4490082,1641415907.422444,71312105.69246097,1219337531.2176924,1219337531.2281015,-0.9320925997674343,-0.9320925997753913
0.17,0.038000000000000006,1895763482.727874,-1762176102.7721252,1895763482.7443664,85464999.78285855,1408281444.3121352,1408281444.3243868,-0.9295337307695917,-0.9295337307776782
0.17,0.04000000000000001,2186329711.958644,-2027474666.6818707,2186329711.976963,101892209.38933553,1624130643.1692786,1624130643.182887,-0.927341679333695,-0.9273416793414652
0.17,0.041999999999999996,2488694952.9694114,-2300137974.9818535,2488694952.9898767,122055079.15331618,1848744822.2058487,1848744822.2210517,-0.9242345962161839,-0.9242345962237842
0.17,0.044,2813757198.9506593,-2592413909.249079,2813757198.968448,143353663.60459462,2090219633.5062041,2090219633.519419,-0.9213353270848972,-0.921335327090722
0.17,0.046,3157024623.3169074,-2898964101.31858,3157024623.3356404,167248815.69211105,2345218291.606846,2345218291.620762,-0.918258311921432,-0.9182583119268808
0.17,0.048,3505403920.439078,-3206265111.1927695,3505403920.450482,193523069.34648004,2604014340.897601,2604014340.9060726,-0.9146635263592476,-0.9146635263622234
0.17,0.05,3902585880.8440337,-3557342822.794057,3902585880.8630004,223952852.19876176,2899063797.198426,2899063797.212515,-0.9115347954898566,-0.9115347954942866
0.17,0.052000000000000005,4292410908.51229,-3895954917.8283257,4292410908.5270615,256772674.80906522,3188648103.4662733,3188648103.477246,-0.9076379221031335,-0.907637922106257
0.17,0.054000000000000006,4713326675.820822,-4259888560.5203977,4713326675.83908,293797801.98786706,3501328387.7526107,3501328387.7661743,-0.9037965864655542,-0.9037965864690551
0.17,0.05600000000000001,5143463188.355967,-4628459663.747571,5143463188.37356,331613742.40505266,3820858368.4930043,3820858368.5060735,-0.8998722250428236,-0.8998722250459016
0.17,0.057999999999999996,5592448936.688794,-5010187154.313653,5592448936.70918,374017807.96433365,4154390638.683105,4154390638.6982484,-0.8958842916609351,-0.8958842916642007
0.17,0.06,6078652835.272133,-5419832314.7630205,6078652835.288678,424125840.4569834,4515570677.630728,4515570677.643019,-0.8916173470705586,-0.8916173470729855
0.17,0.062,6543194257.529938,-5800602423.206763,6543194257.547802,476766521.56062657,4860658591.307955,4860658591.321225,-0.8865092789375107,-0.8865092789399311
0.17,0.064,7063707300.536224,-6228576316.553028,7063707300.555501,537132446.4617286,5247325423.255482,5247325423.269801,-0.8817715756799837,-0.88177157568239
0.17,0.066,7570572944.650351,-6640500436.242944,7570572944.672913,592393701.3930997,5623854187.454547,5623854187.471308,-0.8771463513756352,-0.8771463513782493
0.17,0.068,8091127890.648864,-7058118443.222368,8091127890.666931,652313938.9444113,6010552147.339156,6010552147.352578,-0.8723281276228333,-0.8723281276247812
0.17,0.07,8650090972.051823,-7497972978.674082,8650090972.071516,727393355.3464625,6425781864.952784,6425781864.967413,-0.8668085691679696,-0.866808569169943
0.17,0.07200000000000001,9208815762.840845,-7926445824.570568,9208815762.865948,809295176.3765647,6840834566.681772,6840834566.700419,-0.8607454018717079,-0.8607454018740542
0.17,0.07400000000000001,9781976041.674082,-8371254056.327749,9781976041.69658,877713357.4008642,7266610773.815034,7266610773.831747,-0.8557835370526877,-0.855783537054656
0.17,0.07600000000000001,10363551585.981838,-8806997912.791021,10363551586.004843,964368328.2237155,7698638321.01508,7698638321.03217,-0.8498049958745972,-0.8498049958764836
0.17,0.078,10987717869.51526,-9265901215.022297,10987717869.538137,1066991966.0471004,8162304703.0684805,8162304703.085475,-0.8432962445013874,-0.8432962445031432
0.17,0.08,11590240793.690329,-9714852218.266586,11590240793.715372,1142212549.348871,8609893161.027102,8609893161.045708,-0.8381924406207604,-0.8381924406225715
0.17,0.082,12226778389.269476,-10160591931.887453,12226778389.293022,1257265076.0088863,9082749660.600183,9082749660.617676,-0.8310113758817346,-0.831011375883335
0.17,0.084,12869822283.067024,-10611772728.717443,12869822283.088966,1361336132.4100382,9560439410.278362,9560439410.294662,-0.8245469514106177,-0.8245469514120235
0.17,0.08600000000000001,13525613770.657927,-11063068779.015718,13525613770.681456,1470127779.421578,10047598801.060175,10047598801.077656,-0.817934695355295,-0.8179346953567178
0.17,0.08800000000000001,14212995304.3563,-11530068339.56813,14212995304.381123,1587916380.6729798,10558225083.236113,10558225083.25455,-0.8112342326612895,-0.8112342326627062
0.17,0.09000000000000001,14889624615.13366,-11971548332.634789,14889624615.157852,1712716409.314199,11060863999.813578,11060863999.831549,-0.8040194861895699,-0.8040194861908763
0.17,0.092,15619116338.575768,-12429330270.722092,15619116338.600382,1869049387.5655107,11602772137.227715,11602772137.245998,-0.7957767905220607,-0.7957767905233147
0.17,0.094,16325356832.467949,-12888038260.717173,16325356832.490164,1980222771.8797207,12127407932.69048,12127407932.706982,-0.7894491001304083,-0.7894491001314825
0.17,0.096,17067461042.33335,-13321588060.43913,17067461042.357885,2150057976.6419673,12678685345.733347,12678685345.751572,-0.780525470506581,-0.7805254705077032
0.17,0.098,17786242864.8765,-13760827433.482412,17786242864.900784,2270011636.4269786,13212637556.765402,13212637556.783443,-0.7736781476563501,-0.7736781476574065
0.17,0.1,18549883768.744682,-14199108743.13661,18549883768.76837,2431283835.2838173,13779913656.781767,13779913656.799364,-0.7654554023159449,-0.7654554023169224
0.17,0.10200000000000001,19321427560.34113,-14627343729.986877,19321427560.362034,2596632575.6001306,14353060473.396269,14353060473.411798,-0.7570529498552642,-0.7570529498560832
0.17,0.10400000000000001,20116813608.642994,-15068073642.908981,20116813608.664986,2754207858.1436534,14943918680.706226,14943918680.72256,-0.7490288440321711,-0.7490288440329899
0.17,0.10600000000000001,20937247722.258213,-15488550774.632088,20937247722.2787,2955333162.9282646,15553384022.24896,15553384022.264181,-0.7397605922267988,-0.7397605922275228
0.17,0.10800000000000001,21727865471.435368,-15903428302.768873,21727865471.455772,3105315239.9116306,16140700064.494848,16140700064.510006,-0.7319369831178976,-0.7319369831185849
0.17,0.11,22564008077.986423,-16304777917.605997,22564008078.007214,3301486809.7215276,16761834572.218487,16761834572.23393,-0.7226011381150855,-0.7226011381157513
0.17,0.112,23424501417.7775,-16706266872.655716,23424501417.797073,3506242367.2136087,17401058196.06329,17401058196.077827,-0.7131962629506774,-0.7131962629512733
0.17,0.114,24285743111.47501,-17095679978.509308,24285743111.495235,3699223134.8144197,18040837739.95287,18040837739.96789,-0.7039389282849395,-0.7039389282855257
0.17,0.116,25177509828.70348,-17457349513.07496,25177509828.72465,3939990615.1083775,18703293015.608303,18703293015.62403,-0.6933707754195025,-0.6933707754200856
0.17,0.11800000000000001,26049416204.024773,-17835275081.605553,26049416204.045185,4118460341.484007,19350994894.418404,19350994894.43357,-0.6846708172613839,-0.6846708172619204
0.17,0.12000000000000001,26959386873.715473,-18191522882.295544,26959386873.73515,4330638910.324564,20026973106.18864,20026973106.20326,-0.6747750966109104,-0.6747750966114028
0.17,0.12200000000000001,27869288021.896812,-18534218950.260536,27869288021.91724,4541956152.670653,20702899673.409065,20702899673.42424,-0.6650409919221716,-0.6650409919226591
0.17,0.124,28805666587.37554,-18840012657.04508,28805666587.394527,4787365197.102954,21398495179.19326,21398495179.207363,-0.6540384198326291,-0.6540384198330602
0.17,0.126,29729526399.068615,-19158657207.849655,29729526399.087616,4986338065.122775,22084791039.308117,22084791039.322235,-0.6444319680934313,-0.6444319680938432
0.17,0.128,30707988711.640682,-19457926566.912792,30707988711.66058,5225951315.285649,22811648757.218796,22811648757.233574,-0.6336437970463412,-0.6336437970467518
0.17,0.13,31725365539.048664,-19714371118.768612,31725365539.067627,5523435682.382786,23567414400.436153,23567414400.45024,-0.6214072173413323,-0.6214072173417038
0.17,0.132,32679641040.453735,-19968266904.067303,32679641040.4727,5732373665.375066,24276304772.908493,24276304772.92258,-0.611030790679042,-0.6110307906793966
0.17,0.134,33648393275.98436,-20202152906.919167,33648393276.004124,5949519260.134261,24995949290.73124,24995949290.745922,-0.6003898237044812,-0.6003898237048338
0.17,0.136,34678386662.69808,-20408665730.308983,34678386662.716896,6209879647.731068,25761087235.147152,25761087235.16113,-0.588512549006513,-0.5885125490068323
0.17,0.138,35694610602.77801,-20619608618.024883,35694610602.79579,6431712346.284392,26515996447.77795,26515996447.79116,-0.57766728001257,-0.5776672800128577
0.17,0.14,36782884191.58047,-20744334206.94288,36782884191.597275,6760531195.636509,27324428256.60264,27324428256.615124,-0.5639670369209856,-0.5639670369212433
0.17,0.14200000000000002,37820522453.58113,-20899075503.537445,37820522453.59895,6989110630.770507,28095245251.2317,28095245251.244938,-0.5525855844317855,-0.552585584432046
0.17,0.14400000000000002,38838352912.68035,-20996296210.619617,38838352912.69851,7219160530.846742,28851347877.991123,28851347878.00461,-0.5406072769825084,-0.5406072769827612
0.17,0.14600000000000002,39908550388.37665,-21102679018.229816,39908550388.394936,7456402297.6676035,29646351717.079796,29646351717.093388,-0.5287758841866201,-0.5287758841868625
0.17,0.14800000000000002,40951768717.229195,-21139427316.995865,40951768717.2469,7699345790.868893,30421313904.227406,30421313904.240562,-0.5162030354037667,-0.5162030354039898
0.17,0.15,42077887984.52121,-21146445851.03807,42077887984.53767,7984530240.5468645,31257859645.644333,31257859645.65656,-0.5025548301951073,-0.5025548301953038
0.17,0.152,43155862195.904236,-21134359860.4569,43155862195.92138,8222117665.996967,32058640488.38601,32058640488.398746,-0.48972164579889427,-0.48972164579908883
0.17,0.154,44281646873.095,-21075680078.268597,44281646873.11147,8506588056.640357,32894937677.156292,32894937677.168526,-0.47594616656107447,-0.47594616656125155
0.17,0.156,45453712263.368866,-20940002042.75185,45453712263.38558,8830308058.29234,33765614824.216877,33765614824.229298,-0.46068848945523183,-0.46068848945540125
0.17,0.158,46543907479.76263,-20799458223.9743,46543907479.77879,9071775383.499483,34575474127.82367,34575474127.83568,-0.44687821350218,-0.4468782135023352
0.17,0.16,47655861167.57316,-20632667954.98975,47655861167.58986,9315313292.920298,35401496867.340065,35401496867.35247,-0.43295131909234624,-0.43295131909249795
0.17,0.162,48780371033.91534,-20429763418.33556,48780371033.93307,9560391004.258127,36236847053.765686,36236847053.778854,-0.41881115262784724,-0.41881115262799945
0.17,0.164,49889698796.651115,-20165130797.255367,49889698796.667076,9803731738.728964,37060919106.083694,37060919106.09554,-0.40419427825053367,-0.404194278250663
0.17,0.166,51012857853.271774,-19864319592.589233,51012857853.28704,10048517798.30264,37895265833.85904,37895265833.87038,-0.38939828953945316,-0.3893982895395697
0.17,0.168,52128953886.3882,-19508076484.676105,52128953886.4053,10292129123.224075,38724365744.174095,38724365744.1868,-0.3742272773627175,-0.3742272773628402
0.17,0.17,53249624573.61407,-19106472987.413868,53249624573.631134,10535884925.902191,39556863968.97045,39556863968.98313,-0.3588095341591435,-0.35880953415925854
0.17,0.17200000000000001,54382480668.93403,-18666017055.398808,54382480668.95105,10781916280.320803,40398414211.208145,40398414211.22079,-0.3432358514321308,-0.3432358514322382
0.17,0.17400000000000002,55541364187.01291,-18198055997.996475,55541364187.02956,11032415106.503256,41259299110.352455,41259299110.364815,-0.3276487040670532,-0.3276487040671514
0.17,0.17600000000000002,56726648164.891335,-17702242876.60389,56726648164.907616,11287482757.601978,42139795779.63357,42139795779.64566,-0.31206220443595495,-0.31206220443604454
0.17,0.17800000000000002,57938670797.22233,-17178265840.142756,57938670797.23838,11547221211.352968,43040155449.36516,43040155449.37709,-0.2964905063193398,-0.296490506319422
0.17,0.18,59177732536.38837,-16625851019.705782,59177732536.405014,11811732918.19514,43960601312.74565,43960601312.75802,-0.28094775360779284,-0.2809477536078719
0.17,0.182,60444093224.23116,-16044765392.302158,60444093224.24746,12081120640.321257,44901326395.14316,44901326395.15526,-0.2654480286895216,-0.26544802868959316
0.17,0.184,61737969280.36994,-15434819588.62154,61737969280.38581,12355487281.575176,45862491465.41768,45862491465.42947,-0.25000530092792006,-0.25000530092798434
0.17,0.186,63059530973.47889,-14795870618.324879,63059530973.4952,12634935708.156166,46844223008.87003,46844223008.88216,-0.23463337563585415,-0.23463337563591483
0.17,0.188,64408899803.15373,-14127824485.092548,64408899803.169754,12919568560.13585,47846611282.34278,47846611282.35468,-0.21934584394806378,-0.21934584394811835
0.17,0.19,65786146020.94211,-13430638662.696617,65786146020.957504,13209488053.849825,48869708472.69986,48869708472.711296,-0.20415603398347756,-0.20415603398352533
0.17,0.192,67191286319.70614,-12704324402.775896,67191286319.72168,13504795775.280844,49913526980.353134,49913526980.36468,-0.18907696367537735,-0.1890769636754211
0.17,0.194,68624281720.7093,-11948948844.745394,68624281720.72441,13805592464.601013,50978037849.66977,50978037849.681,-0.17412129562788317,-0.1741212956279215
0.17,0.196,70085035687.75607,-11164636898.333569,70085035687.77132,14111977792.115564,52063169368.04738,52063169368.0587,-0.15930129433153178,-0.15930129433156645
0.17,0.198,71573392496.97668,-10351572869.975475,71573392496.99338,14424050125.900072,53168805854.89697,53168805854.90938,-0.14462878604518178,-0.14462878604521553
0.17,0.2,73089135889.89311,-9510001805.245926,73089135889.90834,14741906291.502,54294786661.06346,54294786661.074776,-0.13011512161767128,-0.1301151216176984
0.17,0.202,74631988035.77052,-8640230521.13138,74631988035.78539,15065641324.131659,55440905398.00096,55440905398.01201,-0.1157711424890419,-0.11577114248906495
0.17,0.20400000000000001,76201608827.20906,-7742628304.032029,76201608827.2245,15395348213.855078,56606909414.49816,56606909414.50964,-0.10160715007457723,-0.10160715007459782
0.17,0.20600000000000002,77797595530.39264,-6817627251.876033,77797595530.40799,15731117644.354404,57792499536.86311,57792499536.87451,-0.08763287869496292,-0.08763287869498021
0.17,0.20800000000000002,79419482808.33327,-5865722241.853219,79419482808.34673,16073037725.904152,58997330086.19044,58997330086.20043,-0.07385747217730246,-0.07385747217731498
0.17,0.21000000000000002,81066743131.92906,-4887470508.7891245,81066743131.94232,16421193723.282137,60221009183.71874,60221009183.7286,-0.06028946421141395,-0.06028946421142382
0.17,0.21200000000000002,82738787589.76025,-3883490823.082489,82738787589.77402,16775667779.400766,61463099352.39335,61463099352.40357,-0.04693676250535805,-0.04693676250536586
0.17,0.214,84434967103.17105,-2854462261.5211477,84434967103.18536,17136538635.518332,62723118419.49851,62723118419.50914,-0.033806636746039086,-0.03380663674604482
0.17,0.216,86154574048.59326,-1801122568.8955486,86154574048.6067,17503881348.955143,64000540721.81215,64000540721.822136,-0.02090571033267939,-0.02090571033268265
0.17,0.218,87896844284.19759,-724266113.2060926,87896844284.21074,17877767009.308167,65294798611.11821,65294798611.12799,-0.008239955815298768,-0.008239955815300001
0.17,0.22,89660959572.90918,375258557.6577481,89660959572.92174,18258262454.217644,66605284254.16112,66605284254.17045,0.004185306062362051,0.004185306062362637
