r_outer,t,C11,C12,C22,C66,E_eff_x,E_eff_y,nu_eff_xy,nu_eff_yx
0.18800000000000003,0.004,1962192.215156715,-1822939.4762588043,1962192.2109875607,56772.6981694296,1457628.5026878456,1457628.4995907594,-0.92903206222663,-0.9290320602526757
0.18800000000000003,0.006,6317277.212078879,-5944370.128970461,6317277.214092728,190004.2832283992,4692834.500401453,4692834.501897456,-0.9409702831640224,-0.940970283463989
0.18800000000000003,0.008,14404249.554068403,-13595472.01424985,14404249.552634694,452153.22850309726,10700299.668736529,10700299.667671489,-0.9438514630401617,-0.9438514629462166
0.18800000000000003,0.01,28394859.59799043,-26857737.14783313,28394859.59867437,924791.5801266083,21093324.272792894,21093324.273300964,-0.9458661718153731,-0.945866171838156
0.18800000000000003,0.012,49046606.15071257,-46387869.88113884,49046606.155381866,1682179.6149068852,36434621.71195792,36434621.715426534,-0.9457916361058698,-0.9457916361959102
0.18800000000000003,0.014,77140789.39023878,-72906769.1328873,77140789.39836696,2730797.167872108,57304586.40417738,57304586.41021546,-0.9451130809199461,-0.9451130810195308
0.18800000000000003,0.016,116199469.51269886,-109759491.72447185,116199469.51701726,4313531.732835993,86319605.92371915,86319605.92692712,-0.9445782513524962,-0.9445782513876002
0.18800000000000003,0.018000000000000002,164827392.13797745,-155503029.96446842,164827392.1432515,6358176.183030865,122443205.58821185,122443205.5921297,-0.9434295352396325,-0.9434295352698198
0.18800000000000003,0.02,227616647.26254815,-214555319.35445517,227616647.26861835,9112629.186448496,169086652.25217864,169086652.25668794,-0.9426169918988876,-0.9426169919240258
0.18800000000000003,0.022000000000000002,302740328.58433646,-284949569.51105267,302740328.5930799,12660677.73926098,224892815.51979282,224892815.526288,-0.9412342611745652,-0.941234261201749
0.18800000000000003,0.024,393544700.4656473,-370016294.2164592,393544700.4782225,16948135.410697617,292347491.7744809,292347491.7838225,-0.9402141453482353,-0.9402141453782786
0.18800000000000003,0.026,497080994.7695921,-466393684.26828897,497080994.78317446,22499254.035577174,369260167.5431256,369260167.5532153,-0.9382649692163926,-0.93826496924203
0.18800000000000003,0.028,618868560.2306161,-579690260.9255534,618868560.2418402,29037622.403816793,459730930.4570292,459730930.46536714,-0.9366936667440712,-0.9366936667610596
0.18800000000000003,0.030000000000000002,755842862.4578494,-706600340.8639498,755842862.4660685,36860164.31123516,561483269.2544025,561483269.2605081,-0.9348508479110903,-0.9348508479212561
0.18800000000000003,0.032,913700815.3418374,-852556775.7348073,913700815.3531142,46329653.15369964,678749177.1110793,678749177.1194564,-0.9330808962946182,-0.9330808963061342
0.18800000000000003,0.034,1086948113.506918,-1011892100.0210054,1086948113.5204608,57450843.58869444,807447170.0337106,807447170.043771,-0.9309479334240156,-0.9309479334356149
0.18800000000000003,0.036000000000000004,1278477216.8562393,-1187292629.9058778,1278477216.8692288,70329800.07985517,949725932.5217779,949725932.5314273,-0.9286771905199481,-0.9286771905293836
0.18800000000000003,0.038000000000000006,1483776654.8465443,-1374644639.729744,1483776654.8638608,84313198.59669998,1102234086.457433,1102234086.4702969,-0.9264498367888596,-0.9264498367996719
0.18800000000000003,0.04000000000000001,1714232046.456672,-1583720716.5831013,1714232046.4694254,102098474.74990113,1273429520.2249563,1273429520.2344303,-0.9238660074316538,-0.9238660074385271
0.18800000000000003,0.041999999999999996,1959773373.5261,-1805978312.5093875,1959773373.542691,120346267.41206264,1455831648.905103,1455831648.9174278,-0.9215240582867561,-0.9215240582945576
0.18800000000000003,0.044,2232164982.47694,-2050790581.0612388,2232164982.5003543,143520988.5057832,1658179701.2685843,1658179701.2859778,-0.9187450735671208,-0.9187450735767578
0.18800000000000003,0.046,2507218356.395406,-2296009608.50387,2507218356.4170647,167281621.90213633,1862505064.750873,1862505064.7669625,-0.9157597313482412,-0.9157597313561521
0.18800000000000003,0.048,2813522317.298127,-2568874089.865825,2813522317.3236585,194446144.73088512,2090045149.992895,2090045150.011861,-0.9130455706885762,-0.9130455706968617
0.18800000000000003,0.05,3128143652.9785523,-2846323504.547891,3128143653.009228,223943772.39268366,2323763856.4983535,2323763856.5211415,-0.9099081820650308,-0.9099081820739536
0.18800000000000003,0.052000000000000005,3459796034.2224665,-3136598021.5241604,3459796034.2502685,256995791.6589018,2570134196.8509755,2570134196.8716288,-0.9065846629319742,-0.9065846629392592
0.18800000000000003,0.054000000000000006,3814542872.450722,-3445338550.3862896,3814542872.475509,294206586.07540697,2833660419.5348225,2833660419.553236,-0.9032113848416079,-0.903211384847477
0.18800000000000003,0.05600000000000001,4177015335.075938,-3756973140.879617,4177015335.0996437,334931886.33469623,3102925677.4849834,3102925677.502593,-0.8994396332016324,-0.8994396332067369
0.18800000000000003,0.057999999999999996,4579734120.601092,-4103345706.953837,4579734120.62543,381442090.2966253,3402088203.8750978,3402088203.8931775,-0.8959790238638274,-0.8959790238685889
0.18800000000000003,0.06,4977242213.697681,-4439030810.216661,4977242213.725235,431199971.08484185,3697379930.175421,3697379930.1958895,-0.8918655391083032,-0.8918655391132405
