r_outer,t,C11,C12,C22,C66,E_eff_x,E_eff_y,nu_eff_xy,nu_eff_yx
0.166,0.004,2759016.8447614615,-2577982.662249014,2759016.8410593276,62744.910033600136,2049555.3703942287,2049555.3676440725,-0.9343845328828057,-0.9343845316290197
0.166,0.006,8872260.268380826,-8391067.549577005,8872260.265766537,204789.96726133316,6590821.913654329,6590821.911712285,-0.9457643597262125,-0.9457643594475348
0.166,0.008,20320973.339749668,-19278743.07028247,20320973.340419427,482411.5481011097,15095580.195242615,15095580.195740148,-0.9487115969950165,-0.9487115970262852
0.166,0.01,40006639.32362809,-38031317.97753155,40006639.3206908,975534.7122652808,29719217.783266585,29719217.7810846,-0.9506251618056395,-0.9506251617358445
0.166,0.012,68780930.02046931,-65379840.657955974,68780930.01748376,1745397.3637323652,51094405.15806292,51094405.15584508,-0.950551855599172,-0.9505518555579117
0.166,0.014,109933236.18277727,-104474317.93202588,109933236.17775275,2912208.4123454136,81664689.73577742,81664689.7320449,-0.950343331684512,-0.9503433316410764
0.166,0.016,163352397.64305115,-155099032.22135794,163352397.64469618,4489154.25714451,121347495.39198087,121347495.39320292,-0.9494750885671729,-0.9494750885767345
0.166,0.018000000000000002,232877465.605744,-220906618.90688676,232877465.60499385,6651415.655442832,172994688.73569557,172994688.7351383,-0.9485959422179043,-0.9485959422148487
0.166,0.02,320878756.5460553,-304082467.19556725,320878756.55245936,9555863.456127755,238367076.29135543,238367076.29611272,-0.9476553401747363,-0.9476553401936494
0.166,0.022000000000000002,426743058.3177566,-403957890.2573436,426743058.3316241,13106839.442314615,317009129.0360478,317009129.04634935,-0.9466068219987915,-0.9466068220295526
0.166,0.024,546777633.3862969,-516606793.6779908,546777633.4011093,17443521.318033215,406177670.5155348,406177670.52653843,-0.944820640274827,-0.9448206403004227
0.166,0.026,694397859.9041747,-655196997.355392,694397859.9222873,22958462.815423276,515838410.2145298,515838410.22798496,-0.9435469709378389,-0.9435469709624503
0.166,0.028,858540155.7988472,-808477201.0391034,858540155.8180219,29558987.43715412,637772687.1648581,637772687.179102,-0.941688278131594,-0.9416882781526257
0.166,0.030000000000000002,1044401668.3092858,-981373539.0903496,1044401668.32883,37572581.38642098,775841239.3154695,775841239.3299881,-0.9396514471876197,-0.9396514472052038
0.166,0.032,1254880691.1893675,-1176518729.8489854,1254880691.2005503,47182739.32937636,932197084.8835304,932197084.8918376,-0.937554253642555,-0.9375542536509099
0.166,0.034,1479969560.7774546,-1383679055.4657488,1479969560.7968392,58325981.36515874,1099405959.434681,1099405959.4490807,-0.9349375096071258,-0.9349375096193717
0.166,0.036000000000000004,1741944973.4428294,-1625412841.1779277,1741944973.4592106,70921341.5409148,1294016265.986102,1294016265.998271,-0.9331022885011864,-0.9331022885099612
0.166,0.038000000000000006,2007336639.522202,-1867724396.04086,2007336639.5429502,84682649.43091302,1491164360.7879217,1491164360.8033345,-0.9304490135078297,-0.930449013517447
0.166,0.04000000000000001,2311636930.406568,-2144460309.284929,2311636930.421956,102574546.75670856,1717216005.4448793,1717216005.4563105,-0.9276804160130322,-0.9276804160192076
0.166,0.041999999999999996,2628238389.4525537,-2430841901.3903975,2628238389.468454,121142765.276707,1952405660.7361832,1952405660.7479944,-0.9248939940649833,-0.9248939940705787
0.166,0.044,2951978616.874781,-2720498588.031415,2951978616.8864937,141718206.57823288,2192898401.106981,2192898401.115681,-0.9215847880703062,-0.9215847880739628
0.166,0.046,3331475567.0773296,-3059648479.252965,3331475567.0965214,168484049.03930828,2474810421.257446,2474810421.271702,-0.9184063990958632,-0.9184063991011538
