r_outer,t,C11,C12,C22,C66,E_eff_x,E_eff_y,nu_eff_xy,nu_eff_yx
0.24800000000000008,0.004,965341.5365527736,-887848.146113,965341.5438051701,43831.654241629076,717110.8557249175,717110.8611124122,-0.9197243730061511,-0.919724379915836
0.24800000000000008,0.006,2994372.9977984796,-2783860.63448475,2994373.000197592,150895.0713126346,2224391.3697931566,2224391.3715753546,-0.9296973470910436,-0.9296973478359235
0.24800000000000008,0.008,6844852.976138206,-6383056.104771123,6844852.983987311,370338.3726612993,5084747.925131239,5084747.930962003,-0.9325337037484217,-0.9325337048177733
0.24800000000000008,0.01,13256611.908883857,-12378230.490576789,13256611.910379436,755804.5334063291,9847768.846599437,9847768.84771044,-0.9337401271349803,-0.9337401272403226
0.24800000000000008,0.012,22673533.438997824,-21159419.483042564,22673533.43429293,1360520.212124122,16843196.268969815,16843196.26547475,-0.933221085472266,-0.9332210852786171
0.24800000000000008,0.014,35883389.40044477,-33446541.966191825,35883389.397202745,2277318.2202628506,26656232.12604469,26656232.123636328,-0.9320898200547109,-0.9320898199704976
0.24800000000000008,0.016,54090578.187842384,-50390874.09794344,54090578.18557043,3580343.7528605377,40181572.368111484,40181572.36642375,-0.9316016908724051,-0.9316016908332752
0.24800000000000008,0.018000000000000002,77415358.92619649,-72038641.45622896,77415358.93241805,5366010.994630344,57508552.34517454,57508552.34979628,-0.9305471478743275,-0.9305471479491119
0.24800000000000008,0.02,106266232.74874015,-98748811.67976336,106266232.75055055,7646975.051520696,78940630.04192127,78940630.04326613,-0.9292586094734948,-0.9292586094893261
0.24800000000000008,0.022000000000000002,141597591.25249258,-131316708.08816834,141597591.2613385,10707666.860147556,105186782.0732802,105186782.07985146,-0.9273936577480663,-0.9273936578060027
0.24800000000000008,0.024,183761274.79187885,-170110534.74645486,183761274.79808673,14452730.195196807,136508375.55968145,136508375.56429303,-0.9257148163200815,-0.9257148163513542
0.24800000000000008,0.026,236444861.94430292,-218652564.94338116,236444861.9541957,19357676.09383651,175644754.58719647,175644754.59454542,-0.9247507564183768,-0.9247507564570682
0.24800000000000008,0.028,294219358.88041013,-271431534.0926537,294219358.88503814,25186940.888920058,218562952.31116185,218562952.31459975,-0.9225481801104446,-0.922548180124956
0.24800000000000008,0.030000000000000002,361161978.258015,-332412723.07001466,361161978.26199096,32199781.153549,268291755.2773826,268291755.28033617,-0.9203978909122009,-0.9203978909223335
0.24800000000000008,0.032,437782387.70507765,-402175295.7602124,437782387.711946,40352817.98462538,325209773.723772,325209773.72887427,-0.9186648596398937,-0.9186648596543067
0.24800000000000008,0.034,524679302.89574194,-480803649.09675395,524679302.9016679,50682346.23284012,389761767.86540836,389761767.86981046,-0.9163762443796324,-0.9163762443899823
0.24800000000000008,0.036000000000000004,624439480.9086967,-571154393.5353239,624439480.9103953,62438284.67483554,463869328.67503184,463869328.6762937,-0.9146673312562092,-0.9146673312586974
0.24800000000000008,0.038000000000000006,729653056.8494606,-665628784.7758173,729653056.8594325,75567921.42013025,542027985.0881708,542027985.0955784,-0.9122538150402768,-0.9122538150527442
0.24800000000000008,0.04000000000000001,846849362.2867271,-770495418.9272337,846849362.2943041,91002772.68824178,629088097.6987116,629088097.7043403,-0.9098376325628793,-0.9098376325710199
0.24800000000000008,0.041999999999999996,980048703.8299419,-889592067.3874763,980048703.832007,109254110.72155005,728036179.9879569,728036179.989491,-0.9077018967620244,-0.9077018967639372
0.24800000000000008,0.044,1118939106.038982,-1012505457.60096,1118939106.0457714,129706462.63103987,831211907.3432437,831211907.3482873,-0.9048798564017142,-0.9048798564072048
0.24800000000000008,0.046,1274931065.4028292,-1150359854.5102775,1274931065.4106548,153692409.70820665,947091648.584959,947091648.5907724,-0.902291806765056,-0.9022918067705943
0.24800000000000008,0.048,1436249298.0369573,-1291361069.5742939,1436249298.0497084,179784148.86683372,1066928049.9703113,1066928049.9797835,-0.8991204182503977,-0.8991204182583801
0.24800000000000008,0.05,1613779132.4185412,-1447243777.2623243,1613779132.4297385,208041769.2901047,1198807355.5109165,1198807355.5192344,-0.8968041215673206,-0.8968041215735431
0.24800000000000008,0.052000000000000005,1806018907.016266,-1613922599.8236706,1806018907.0328734,242783290.72065857,1341614045.2120836,1341614045.2244203,-0.8936354949213684,-0.8936354949295858
0.24800000000000008,0.054000000000000006,2003948610.2065182,-1785235706.1049004,2003948610.2248185,276765532.8795778,1488647539.0105565,1488647539.024151,-0.8908590255239224,-0.8908590255320579
0.24800000000000008,0.05600000000000001,2222660021.6539984,-1972451159.3597562,2222660021.6758304,319809908.2685856,1651118873.2286847,1651118873.2449028,-0.8874281897024346,-0.8874281897111513
0.24800000000000008,0.057999999999999996,2444845021.123959,-2161869453.9336896,2444845021.1405067,363261366.6160611,1816170587.1206553,1816170587.1329482,-0.8842562351560384,-0.8842562351620233
0.24800000000000008,0.06,2689008579.639451,-2370054599.245916,2689008579.653996,411652599.9449343,1997549230.5893068,1997549230.6001117,-0.8813860309627123,-0.8813860309674797
0.24800000000000008,0.062,2947465517.4941144,-2586000915.431239,2947465517.5074334,472162889.1360889,2189545812.995628,2189545813.0055223,-0.8773642643385793,-0.8773642643425439
0.24800000000000008,0.064,3204100509.576365,-2799259655.2182555,3204100509.59136,529446666.0319265,2380188949.971014,2380188949.9821534,-0.8736491401685971,-0.8736491401726857
0.24800000000000008,0.066,3483053753.8487415,-3030759179.963046,3483053753.8700347,593751669.3562002,2587411360.0019226,2587411360.0177402,-0.8701442452892257,-0.8701442452945453
0.24800000000000008,0.068,3772932901.4539123,-3268912232.93999,3772932901.473291,663512433.9486905,2802750155.365764,2802750155.3801594,-0.8664114412592692,-0.8664114412637193
0.24800000000000008,0.07,4087778907.7863965,-3522423416.4185405,4087778907.8074164,752678907.7114769,3036635760.069895,3036635760.0855103,-0.8616961670042672,-0.8616961670086981
0.24800000000000008,0.07200000000000001,4407051443.731766,-3779891957.299057,4407051443.757718,837399487.0644484,3273809643.915026,3273809643.934305,-0.8576918162943188,-0.8576918162993695
0.24800000000000008,0.07400000000000001,4730190508.866922,-4036018281.87177,4730190508.8938875,928601745.6983385,3513855806.586857,3513855806.6068883,-0.8532464547216633,-0.8532464547265274
0.24800000000000008,0.07600000000000001,5069872488.775114,-4309567959.145659,5069872488.800448,1014899126.6928766,3766190991.6615133,3766190991.6803336,-0.8500347826628121,-0.8500347826670598
0.24800000000000008,0.078,5422846672.261642,-4584446801.14765,5422846672.284555,1121862226.2629533,4028400385.108649,4028400385.12567,-0.845394878040374,-0.845394878043946
0.24800000000000008,0.08,5799886050.705262,-4876691962.871567,5799886050.730246,1240196499.283161,4308486780.5239105,4308486780.542469,-0.8408254783311747,-0.8408254783347967
0.24800000000000008,0.082,6182204481.3912,-5167988935.631159,6182204481.412451,1364245782.9832485,4592494757.604892,4592494757.620678,-0.8359459722125572,-0.8359459722154307
0.24800000000000008,0.084,6575673376.542536,-5472978004.602364,6575673376.56677,1480366742.2074933,4884785936.86017,4884785936.878172,-0.8323068515090791,-0.8323068515121466
0.24800000000000008,0.08600000000000001,6979102124.225634,-5771047904.2994995,6979102124.253456,1625114871.6827269,5184475863.710472,5184475863.731139,-0.8269040632381948,-0.8269040632414912
0.24800000000000008,0.08800000000000001,7407076288.788298,-6085974958.579685,7407076288.814345,1779623724.4536822,5502399528.814165,5502399528.833514,-0.8216433476958114,-0.8216433476987007
0.24800000000000008,0.09000000000000001,7844872873.507085,-6401464032.931703,7844872873.535959,1949900963.5279052,5827619848.890978,5827619848.912428,-0.8160060890886481,-0.8160060890916515
0.24800000000000008,0.092,8290625275.63383,-6729636867.01966,8290625275.661953,2103255513.9651995,6158750204.756561,6158750204.777451,-0.8117164439665671,-0.8117164439693205
0.24800000000000008,0.094,8757469574.757,-7056697749.576122,8757469574.783958,2294349896.754944,6505548826.962345,6505548826.98237,-0.8057918659397919,-0.8057918659422725
0.24800000000000008,0.096,9227505749.212687,-7393640934.23142,9227505749.239157,2465903266.0559406,6854718556.557998,6854718556.57766,-0.8012610487770278,-0.8012610487793262
0.24800000000000008,0.098,9716897941.054605,-7724206108.133551,9716897941.081198,2680032312.5292096,7218267041.926279,7218267041.946034,-0.7949251041813535,-0.794925104183529
0.24800000000000008,0.1,10231224555.250093,-8066880898.422963,10231224555.277147,2917262682.8557425,7600338241.042928,7600338241.063025,-0.7884570272931952,-0.7884570272952801
