r_outer,t,C11,C12,C22,C66,E_eff_x,E_eff_y,nu_eff_xy,nu_eff_yx
0.24600000000000008,0.004,955480.6302392277,-875865.0204054108,955480.6286047401,44629.95047218575,709785.611034855,709785.6098206642,-0.9166748065676751,-0.9166748049995705
0.24600000000000008,0.006,3030104.4331748025,-2815333.4290010035,3030104.417078148,152376.19325342803,2250934.7217869963,2250934.709829482,-0.9291209283526134,-0.9291209234168962
0.24600000000000008,0.008,6937046.740820812,-6468507.673639598,6937046.734192522,370849.28021617385,5153234.721752604,5153234.716828731,-0.9324584252483832,-0.932458424357427
0.24600000000000008,0.01,13398830.281587372,-12504924.62179442,13398830.271809751,757971.809249122,9953416.780607764,9953416.773344388,-0.9332847993532652,-0.9332847986722129
0.24600000000000008,0.012,22919111.642586265,-21377008.091716282,22919111.629666235,1366540.4507046274,17025625.791635513,17025625.782037776,-0.932715387800901,-0.9327153872751079
0.24600000000000008,0.014,36794684.67551917,-34311562.70179003,36794684.659815274,2308153.4524361775,27333194.33038567,27333194.318719923,-0.9325141122696684,-0.9325141118716733
0.24600000000000008,0.016,55218203.31179981,-51457508.944184065,55218203.30898937,3611501.486991667,41019236.74590843,41019236.74382068,-0.931893938240597,-0.9318939381931663
0.24600000000000008,0.018000000000000002,78793105.90417185,-73314015.63243599,78793105.89664179,5421835.024800443,58532021.528813384,58532021.52321963,-0.9304623139060784,-0.9304623138171564
0.24600000000000008,0.02,108069218.25305974,-100413740.5696747,108069218.25283456,7688826.683699515,80279990.70227297,80279990.70210569,-0.9291613485604254,-0.9291613485584893
0.24600000000000008,0.022000000000000002,143774017.80218118,-133372729.61106943,143774017.79990375,10621940.567431835,106803556.08162034,106803556.07992852,-0.9276552999770081,-0.9276552999623138
0.24600000000000008,0.024,189686630.7261861,-175762377.6352669,189686630.72779554,14771296.567188235,140910068.53945255,140910068.54064813,-0.9265933870030606,-0.9265933870109225
0.24600000000000008,0.026,240201932.71958306,-222069184.66599238,240201932.71726525,19529459.843679667,178435721.44883314,178435721.44711137,-0.924510399037395,-0.9245103990284739
0.24600000000000008,0.028,299181354.0267598,-276134257.0036449,299181354.0233527,25002738.801051356,222249005.84845015,222249005.84591913,-0.9229661317131788,-0.9229661317026678
0.24600000000000008,0.030000000000000002,368207128.1772258,-339102448.15334237,368207128.1779192,32146563.490957264,273525295.21736777,273525295.2178829,-0.9209556855441611,-0.9209556855458954
0.24600000000000008,0.032,446600548.0414362,-410340581.0948902,446600548.0412243,40812836.17202802,331760407.1164955,331760407.1163381,-0.9188089510741329,-0.9188089510736969
0.24600000000000008,0.034,537669597.8026825,-493198276.6121645,537669597.8007865,50801428.93414478,399411701.22484994,399411701.2234415,-0.917288756198004,-0.9172887561947692
0.24600000000000008,0.036000000000000004,634240940.1660488,-580340735.3516685,634240940.1653256,62007932.66793154,471150412.69477916,471150412.69424206,-0.915016200626205,-0.9150162006251618
0.24600000000000008,0.038000000000000006,744162844.4237832,-678932880.2416829,744162844.423887,76520640.9130002,552806684.4290962,552806684.4291732,-0.9123445027241267,-0.912344502724254
0.24600000000000008,0.04000000000000001,867423443.8907069,-789549435.0946487,867423443.8910735,92291700.84173809,644371701.1759537,644371701.1762261,-0.910223767474973,-0.9102237674753576
0.24600000000000008,0.041999999999999996,998296956.0569677,-906133851.5242512,998296956.0611966,110547343.55860527,741592024.4994618,741592024.5026032,-0.907679669884423,-0.907679669888268
0.24600000000000008,0.044,1144236817.9791071,-1035672793.6343586,1144236817.9800394,131453212.76862645,850004493.3559083,850004493.3566009,-0.9051210180971693,-0.9051210180979067
0.24600000000000008,0.046,1296100071.5542238,-1170052248.6016366,1296100071.557896,152972660.1851574,962817196.0117092,962817196.0144371,-0.9027483867007651,-0.9027483867033227
0.24600000000000008,0.048,1466125815.2736301,-1319383483.514871,1466125815.269762,180395894.56578416,1089122034.2032683,1089122034.2003946,-0.8999115013005271,-0.8999115012981529
0.24600000000000008,0.05,1647657109.9579115,-1477754522.3403082,1647657109.9675186,210693997.40549955,1223973853.1115916,1223973853.1187284,-0.8968823145305034,-0.8968823145357329
0.24600000000000008,0.052000000000000005,1838094359.9148965,-1643700619.709878,1838094359.9261003,242093720.58082572,1365441524.5082092,1365441524.5165317,-0.8942416970236295,-0.8942416970290802
0.24600000000000008,0.054000000000000006,2049157766.7257607,-1826073025.5074697,2049157766.7361383,281558057.6799577,1522231483.8534224,1522231483.8611317,-0.891133447677875,-0.891133447682388
0.24600000000000008,0.05600000000000001,2261082900.1268306,-2007691996.0321248,2261082900.1352735,320075863.0374651,1679661582.9513602,1679661582.957632,-0.8879338284819238,-0.8879338284852394
